frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len,_ws.col.protocol,_ws.col.info
1,Apr 21, 2024 13:13:04.808087000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,32834,TCP,47979 → 1887 [ACK] Seq=1 Ack=1 Win=512 Len=32768 TSval=3719264066 TSecr=3719264061
2,Apr 21, 2024 13:13:04.808430000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,32834,TCP,47979 → 1887 [PSH, ACK] Seq=32769 Ack=1 Win=512 Len=32768 TSval=3719264067 TSecr=3719264066
3,Apr 21, 2024 13:13:04.808516000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,32834,TCP,47979 → 1887 [ACK] Seq=65537 Ack=1 Win=512 Len=32768 TSval=3719264067 TSecr=3719264067
4,Apr 21, 2024 13:13:04.808603000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,65549,TCP,47979 → 1887 [PSH, ACK] Seq=98305 Ack=1 Win=512 Len=65483 TSval=3719264067 TSecr=3719264067
5,Apr 21, 2024 13:13:04.808698000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,65549,TCP,47979 → 1887 [ACK] Seq=163788 Ack=1 Win=512 Len=65483 TSval=3719264067 TSecr=3719264067
6,Apr 21, 2024 13:13:04.812142000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,32834,TCP,53923 → 1887 [ACK] Seq=1 Ack=1 Win=512 Len=32768 TSval=3719264070 TSecr=3719264067
7,Apr 21, 2024 13:13:04.814401000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,32834,TCP,53923 → 1887 [PSH, ACK] Seq=32769 Ack=1 Win=512 Len=32768 TSval=3719264073 TSecr=3719264071
8,Apr 21, 2024 13:13:04.819553000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,32834,TCP,53923 → 1887 [ACK] Seq=65537 Ack=1 Win=512 Len=32768 TSval=3719264078 TSecr=3719264076
9,Apr 21, 2024 13:13:04.819570000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,32834,TCP,47771 → 1887 [ACK] Seq=1 Ack=1 Win=512 Len=32768 TSval=3719264078 TSecr=3719264071
10,Apr 21, 2024 13:13:04.819707000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [PSH, ACK] Seq=98305 Ack=1 Win=512 Len=65483 TSval=3719264078 TSecr=3719264078
11,Apr 21, 2024 13:13:04.819822000 EDT,127.0.0.1,127.0.0.1,53923,1887,,,,,65549,TCP,53923 → 1887 [ACK] Seq=163788 Ack=1 Win=512 Len=65483 TSval=3719264078 TSecr=3719264078
12,Apr 21, 2024 13:13:04.819844000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,32834,TCP,47771 → 1887 [PSH, ACK] Seq=32769 Ack=1 Win=512 Len=32768 TSval=3719264078 TSecr=3719264078
13,Apr 21, 2024 13:13:04.819970000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,32834,TCP,47771 → 1887 [ACK] Seq=65537 Ack=1 Win=512 Len=32768 TSval=3719264078 TSecr=3719264078
14,Apr 21, 2024 13:13:04.827471000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [PSH, ACK] Seq=98305 Ack=1 Win=512 Len=65483 TSval=3719264086 TSecr=3719264079
15,Apr 21, 2024 13:13:04.827641000 EDT,127.0.0.1,127.0.0.1,47771,1887,,,,,65549,TCP,47771 → 1887 [ACK] Seq=163788 Ack=1 Win=512 Len=65483 TSval=3719264086 TSecr=3719264086
16,Apr 21, 2024 13:13:04.849371000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,65549,TCP,47979 → 1887 [ACK] Seq=229271 Ack=1 Win=512 Len=65483 TSval=3719264108 TSecr=3719264108
17,Apr 21, 2024 13:13:04.849434000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,65549,TCP,47979 → 1887 [ACK] Seq=294754 Ack=1 Win=512 Len=65483 TSval=3719264108 TSecr=3719264108
18,Apr 21, 2024 13:13:04.849548000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,65549,TCP,47979 → 1887 [ACK] Seq=360237 Ack=1 Win=512 Len=65483 TSval=3719264108 TSecr=3719264108
19,Apr 21, 2024 13:13:04.849589000 EDT,127.0.0.1,127.0.0.1,47979,1887,,,,,65549,TCP,47979 → 1887 [ACK] Seq=425720 Ack=1 Win=512 Len=65483 TSval=3719264108 TSecr=3719264108
